Using the default schema relations
Using Support as pruning metric with threshold 50
countProjectionBindings var=?i in ?b  <hasTime>  ?h  ?i  <hasTime>  ?h   => ?a  <hasCheckin>  ?b has taken 33768 ms
countProjectionBindings var=?i in ?a  <hasTime>  ?h  ?i  <hasTime>  ?h   => ?a  <hasPOI>  ?b has taken 33458 ms
countProjectionBindings var=?i in ?a  <hasTime>  ?h  ?i  <hasTime>  ?h   => ?a  <withinTimeWindow>  ?b has taken 126731 ms
countProjectionBindings var=?i in ?b  <hasTime>  ?h  ?i  <hasTime>  ?h   => ?a  <withinTimeWindow>  ?b has taken 127971 ms
countProjectionBindings var=?i in ?b  <hasTime>  ?h  ?i  <hasTime>  ?h   => ?a  <withinRadius>  ?b has taken 130547 ms
countProjectionBindings var=?i in ?a  <hasTime>  ?h  ?i  <hasTime>  ?h   => ?a  <withinRadius>  ?b has taken 128368 ms
countProjectionBindings var=?i in ?b  <hasTime>  ?h  ?i  <hasTime>  ?h   => ?a  <before>  ?b has taken 122730 ms
countProjectionBindings var=?i in ?a  <hasTime>  ?h  ?i  <hasTime>  ?h   => ?a  <before>  ?b has taken 121352 ms
countProjectionBindings var=?m in ?a  <hasCheckin>  ?f  ?f  <hasTime>  ?l  ?m  <hasTime>  ?l   => ?a  <hasTrajectoryCategory>  <Weekday> has taken 29933 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?i <hasPOI> ?b  ?i <hasTime> <Morning>  ?a <hasPOI> ?x9   has taken 26957 ms
countPairs vars ?a, ?b in ?a <hasTime> <Night>  ?i <hasPOI> ?b  ?i <hasTime> <Morning>  ?a <hasPOI> ?x9   has taken 27392 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?i <hasPOI> ?b  ?i <hasTime> <Night>  ?a <hasPOI> ?x9   has taken 40143 ms
Query ?g  <hasPOI>  ?b  ?a  <hasTime>  ?n  ?g  <hasTime>  ?n   => ?a  <hasPOI>  ?b discarded by functionality heuristic with ratio 6.852444038373687E-4
countPairs vars ?a, ?b in ?a <hasTime> <Night>  ?b <withinTimeWindow> ?j  ?j <hasTime> <Morning>  ?a <withinTimeWindow> ?x9   has taken 27613 ms
countPairs vars ?a, ?b in ?a <hasTime> <Night>  ?b <withinRadius> ?j  ?j <hasTime> <Morning>  ?a <withinTimeWindow> ?x9   has taken 26446 ms
countPairs vars ?a, ?b in ?a <hasTime> <Night>  ?i <withinTimeWindow> ?b  ?i <hasTime> <Morning>  ?a <withinTimeWindow> ?x9   has taken 29006 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?b <withinTimeWindow> ?j  ?j <hasTime> <Morning>  ?a <withinTimeWindow> ?x9   has taken 33358 ms
countPairs vars ?a, ?b in ?a <hasTime> <Night>  ?b <before> ?j  ?j <hasTime> <Morning>  ?a <withinTimeWindow> ?x9   has taken 26386 ms
countPairs vars ?a, ?b in ?a <hasTime> <Night>  ?i <withinRadius> ?b  ?i <hasTime> <Morning>  ?a <withinTimeWindow> ?x9   has taken 27829 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?b <withinTimeWindow> ?j  ?j <hasTime> <Night>  ?a <withinTimeWindow> ?x9   has taken 50723 ms
countPairs vars ?a, ?b in ?a <hasTime> <Night>  ?i <before> ?b  ?i <hasTime> <Morning>  ?a <withinTimeWindow> ?x9   has taken 29091 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?b <withinRadius> ?j  ?j <hasTime> <Morning>  ?a <withinTimeWindow> ?x9   has taken 28963 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?b <before> ?j  ?j <hasTime> <Morning>  ?a <withinTimeWindow> ?x9   has taken 28280 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?b <withinRadius> ?j  ?j <hasTime> <Night>  ?a <withinTimeWindow> ?x9   has taken 46610 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?i <withinTimeWindow> ?b  ?i <hasTime> <Morning>  ?a <withinTimeWindow> ?x9   has taken 29989 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?b <before> ?j  ?j <hasTime> <Night>  ?a <withinTimeWindow> ?x9   has taken 44105 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?i <before> ?b  ?i <hasTime> <Morning>  ?a <withinTimeWindow> ?x9   has taken 26108 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?i <withinTimeWindow> ?b  ?i <hasTime> <Night>  ?a <withinTimeWindow> ?x9   has taken 42916 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?i <withinRadius> ?b  ?i <hasTime> <Morning>  ?a <withinTimeWindow> ?x9   has taken 22424 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?i <before> ?b  ?i <hasTime> <Night>  ?a <withinTimeWindow> ?x9   has taken 38925 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?i <withinRadius> ?b  ?i <hasTime> <Night>  ?a <withinTimeWindow> ?x9   has taken 34020 ms
Query ?a  <hasTime>  ?n  ?h  <hasTime>  ?n  ?b  <withinTimeWindow>  ?h   => ?a  <withinTimeWindow>  ?b discarded by functionality heuristic with ratio 3.411765765972251E-4
Query ?a  <hasTime>  ?n  ?h  <hasTime>  ?n  ?b  <withinRadius>  ?h   => ?a  <withinTimeWindow>  ?b discarded by functionality heuristic with ratio 2.923358290892462E-4
Query ?b  <before>  ?h  ?a  <hasTime>  ?n  ?h  <hasTime>  ?n   => ?a  <withinTimeWindow>  ?b discarded by functionality heuristic with ratio 2.867071938799512E-4
Query ?a  <hasTime>  ?n  ?g  <hasTime>  ?n  ?g  <withinTimeWindow>  ?b   => ?a  <withinTimeWindow>  ?b discarded by functionality heuristic with ratio 3.411765765972251E-4
Query ?a  <hasTime>  ?n  ?g  <hasTime>  ?n  ?g  <withinRadius>  ?b   => ?a  <withinTimeWindow>  ?b discarded by functionality heuristic with ratio 2.923358290892462E-4
Query ?g  <before>  ?b  ?a  <hasTime>  ?n  ?g  <hasTime>  ?n   => ?a  <withinTimeWindow>  ?b discarded by functionality heuristic with ratio 2.861615552422831E-4
countPairs vars ?a, ?b in ?a <hasTime> <Night>  ?b <withinRadius> ?j  ?j <hasTime> <Morning>  ?a <withinRadius> ?x9   has taken 23197 ms
countPairs vars ?a, ?b in ?a <hasTime> <Night>  ?b <withinTimeWindow> ?j  ?j <hasTime> <Morning>  ?a <withinRadius> ?x9   has taken 24389 ms
countPairs vars ?a, ?b in ?a <hasTime> <Night>  ?b <before> ?j  ?j <hasTime> <Morning>  ?a <withinRadius> ?x9   has taken 22599 ms
countPairs vars ?a, ?b in ?a <hasTime> <Night>  ?i <withinRadius> ?b  ?i <hasTime> <Morning>  ?a <withinRadius> ?x9   has taken 24775 ms
countPairs vars ?a, ?b in ?a <hasTime> <Night>  ?i <withinTimeWindow> ?b  ?i <hasTime> <Morning>  ?a <withinRadius> ?x9   has taken 28046 ms
countPairs vars ?a, ?b in ?a <hasTime> <Night>  ?i <before> ?b  ?i <hasTime> <Morning>  ?a <withinRadius> ?x9   has taken 29127 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?b <withinRadius> ?j  ?j <hasTime> <Morning>  ?a <withinRadius> ?x9   has taken 29824 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?b <withinRadius> ?j  ?j <hasTime> <Night>  ?a <withinRadius> ?x9   has taken 47759 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?b <withinTimeWindow> ?j  ?j <hasTime> <Morning>  ?a <withinRadius> ?x9   has taken 31055 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?b <before> ?j  ?j <hasTime> <Morning>  ?a <withinRadius> ?x9   has taken 28560 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?b <withinTimeWindow> ?j  ?j <hasTime> <Night>  ?a <withinRadius> ?x9   has taken 48210 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?i <withinRadius> ?b  ?i <hasTime> <Morning>  ?a <withinRadius> ?x9   has taken 29227 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?b <before> ?j  ?j <hasTime> <Night>  ?a <withinRadius> ?x9   has taken 45372 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?i <withinTimeWindow> ?b  ?i <hasTime> <Morning>  ?a <withinRadius> ?x9   has taken 27090 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?i <withinRadius> ?b  ?i <hasTime> <Night>  ?a <withinRadius> ?x9   has taken 42684 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?i <before> ?b  ?i <hasTime> <Morning>  ?a <withinRadius> ?x9   has taken 22247 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?i <withinTimeWindow> ?b  ?i <hasTime> <Night>  ?a <withinRadius> ?x9   has taken 39288 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?i <before> ?b  ?i <hasTime> <Night>  ?a <withinRadius> ?x9   has taken 33695 ms
Query ?a  <hasTime>  ?n  ?h  <hasTime>  ?n  ?b  <withinRadius>  ?h   => ?a  <withinRadius>  ?b discarded by functionality heuristic with ratio 4.257057369310395E-4
Query ?a  <hasTime>  ?n  ?h  <hasTime>  ?n  ?b  <withinTimeWindow>  ?h   => ?a  <withinRadius>  ?b discarded by functionality heuristic with ratio 2.544917962031832E-4
Query ?b  <before>  ?h  ?a  <hasTime>  ?n  ?h  <hasTime>  ?n   => ?a  <withinRadius>  ?b discarded by functionality heuristic with ratio 3.380604015177055E-4
Query ?a  <hasTime>  ?n  ?g  <hasTime>  ?n  ?g  <withinRadius>  ?b   => ?a  <withinRadius>  ?b discarded by functionality heuristic with ratio 4.257057369310395E-4
Query ?a  <hasTime>  ?n  ?g  <hasTime>  ?n  ?g  <withinTimeWindow>  ?b   => ?a  <withinRadius>  ?b discarded by functionality heuristic with ratio 2.544917962031832E-4
Query ?g  <before>  ?b  ?a  <hasTime>  ?n  ?g  <hasTime>  ?n   => ?a  <withinRadius>  ?b discarded by functionality heuristic with ratio 3.392765934650081E-4
countPairs vars ?a, ?b in ?a <hasTime> <Night>  ?b <before> ?j  ?j <hasTime> <Morning>  ?a <before> ?x9   has taken 22370 ms
countPairs vars ?a, ?b in ?a <hasTime> <Night>  ?b <withinTimeWindow> ?j  ?j <hasTime> <Morning>  ?a <before> ?x9   has taken 24573 ms
countPairs vars ?a, ?b in ?a <hasTime> <Night>  ?b <withinRadius> ?j  ?j <hasTime> <Morning>  ?a <before> ?x9   has taken 23125 ms
countPairs vars ?a, ?b in ?a <hasTime> <Night>  ?i <before> ?b  ?i <hasTime> <Morning>  ?a <before> ?x9   has taken 24955 ms
countPairs vars ?a, ?b in ?a <hasTime> <Night>  ?i <withinRadius> ?b  ?i <hasTime> <Morning>  ?a <before> ?x9   has taken 25607 ms
countPairs vars ?a, ?b in ?a <hasTime> <Night>  ?i <withinTimeWindow> ?b  ?i <hasTime> <Morning>  ?a <before> ?x9   has taken 28709 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?b <before> ?j  ?j <hasTime> <Morning>  ?a <before> ?x9   has taken 26074 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?b <withinTimeWindow> ?j  ?j <hasTime> <Morning>  ?a <before> ?x9   has taken 28212 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?b <before> ?j  ?j <hasTime> <Night>  ?a <before> ?x9   has taken 42492 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?b <withinRadius> ?j  ?j <hasTime> <Morning>  ?a <before> ?x9   has taken 26539 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?b <withinTimeWindow> ?j  ?j <hasTime> <Night>  ?a <before> ?x9   has taken 43631 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?i <before> ?b  ?i <hasTime> <Morning>  ?a <before> ?x9   has taken 26827 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?b <withinRadius> ?j  ?j <hasTime> <Night>  ?a <before> ?x9   has taken 42014 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?i <withinRadius> ?b  ?i <hasTime> <Morning>  ?a <before> ?x9   has taken 22985 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?i <before> ?b  ?i <hasTime> <Night>  ?a <before> ?x9   has taken 38572 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?i <withinTimeWindow> ?b  ?i <hasTime> <Morning>  ?a <before> ?x9   has taken 21094 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?i <withinRadius> ?b  ?i <hasTime> <Night>  ?a <before> ?x9   has taken 34959 ms
countPairs vars ?a, ?b in ?a <hasTime> <Afternoon>  ?i <withinTimeWindow> ?b  ?i <hasTime> <Night>  ?a <before> ?x9   has taken 32068 ms
Query ?m  <before>  ?a  ?b  <hasPOI>  ?h  ?m  <hasPOI>  ?h   => ?a  <before>  ?b discarded by functionality heuristic with ratio 0.002038220034937138
Query ?a  <hasTime>  ?n  ?h  <hasTime>  ?n  ?b  <withinTimeWindow>  ?h   => ?a  <before>  ?b discarded by functionality heuristic with ratio 2.463756586006959E-4
Query ?b  <before>  ?h  ?a  <hasPOI>  ?n  ?h  <hasPOI>  ?n   => ?a  <before>  ?b discarded by functionality heuristic with ratio 0.0011598317537042735
Query ?b  <before>  ?h  ?a  <hasTime>  ?n  ?h  <hasTime>  ?n   => ?a  <before>  ?b discarded by functionality heuristic with ratio 2.627824151142071E-4
Query ?a  <hasTime>  ?n  ?h  <hasTime>  ?n  ?b  <withinRadius>  ?h   => ?a  <before>  ?b discarded by functionality heuristic with ratio 3.3282699523669594E-4
Query ?g  <before>  ?b  ?a  <hasTime>  ?n  ?g  <hasTime>  ?n   => ?a  <before>  ?b discarded by functionality heuristic with ratio 4.5737811499782825E-4
Query ?a  <hasTime>  ?n  ?g  <hasTime>  ?n  ?g  <withinTimeWindow>  ?b   => ?a  <before>  ?b discarded by functionality heuristic with ratio 2.463756586006959E-4
Query ?a  <hasTime>  ?n  ?g  <hasTime>  ?n  ?g  <withinRadius>  ?b   => ?a  <before>  ?b discarded by functionality heuristic with ratio 3.3282699523669594E-4
AMIE Queue statistics:
gen: 1, calls: 159, added: 159
gen: 2, calls: 5749, added: 5735
gen: 3, calls: 173099, added: 126896
gen: 4, calls: 3089390, added: 2296045
gen: 5, calls: 0, added: 0
